,Name,TeamName,Killed,Death,ADR,TotalDamageDealt,RoundMVPs,FlashAssists,BombsPlanted,Clutches,FirstKills,FirstDeaths,FlashedEnemies,WalkQuantityAsTR,DistanceTraveledAsTR,DistanceTraveledAsCT,Knife,USP,Deagle,Famas,AK47,M4A4,MP9,P250,Tec9,Glock,AWP,Mac10,Gallil,AUG,SG556,Revolver,MP7,Desconhecido,MP5SD,M4A1,HE
4,⑳ SILVASSAURO,Time Pato,37,22,145.0,4227,3,3,2,1,5,1,6,12120,147223.61,146179.67,1.0,5,0.0,0.0,16,3,2,1.0,0.0,0.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
3,⑮ Thurzão,Time Untarget,26,20,104.0,3019,0,0,1,0,4,5,2,12445,164206.0,156362.02,1.0,1,1.0,1.0,10,4,0,1.0,0.0,1.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,⑯ baaaaa,Time Pato,17,21,78.0,2283,4,2,3,0,1,5,2,10413,161404.64,145590.15,0.0,1,0.0,0.0,5,2,0,0.0,0.0,0.0,5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
6,☆ ⑲ Untarget,Time Untarget,28,22,145.0,4213,4,0,0,0,3,5,5,11791,170475.06,155832.57,0.0,0,2.0,1.0,6,12,0,0.0,3.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,⑲ DRILÃO,Time Pato,18,25,94.0,2729,1,3,0,0,5,3,5,11364,163018.55,149347.16,0.0,4,2.0,0.0,2,4,2,0.0,0.0,1.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,☆ ⑱ Pato,Time Pato,21,25,94.0,2729,3,2,2,0,3,3,4,10563,178431.75,143420.16,3.0,1,0.0,0.0,6,7,0,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,☆ ⑬ Lio,Time Untarget,16,26,69.0,2016,0,0,1,0,3,3,6,12742,159565.41,154008.95,2.0,1,0.0,1.0,3,5,1,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,★ ⑱ barreto,Time Untarget,19,22,81.0,2375,2,2,2,0,2,2,8,13908,166369.15,170899.18,1.0,2,0.0,3.0,6,3,0,0.0,0.0,0.0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,⑩ Paulaum,Time Untarget,20,22,91.0,2660,3,1,3,0,1,3,0,13909,169357.48,159376.79,0.0,0,1.0,0.0,8,1,4,0.0,1.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
9,★ ⑨ savilek,Time Pato,19,19,76.0,2229,2,1,2,1,4,1,1,11595,162615.68,120034.86,0.0,0,0.0,0.0,7,3,1,0.0,0.0,1.0,0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0